Species,Mass_kg,Length_m,EI_Nm2,Posture,Notes
Mouse,0.03,0.05,0.00008,Quadruped,Estimated from scaling
Rat,0.3,0.15,0.002,Quadruped,Estimated from scaling
Rabbit,2.5,0.35,0.03,Quadruped,Estimated from scaling
Cat,4.0,0.45,0.06,Quadruped,Estimated from scaling
Dog,20.0,0.75,0.5,Quadruped,Estimated from scaling
Chimpanzee,50.0,0.5,1.6,Facultative_Biped,Estimated from scaling
Human_Child,30.0,0.45,1.2,Biped,Critical AIS Window
Human_Adult,70.0,0.6,2.5,Biped,Reference Literature
Horse,500.0,1.5,40.0,Quadruped,Estimated from scaling
Elephant,4000.0,2.5,550.0,Quadruped,Estimated from scaling
