boundary_condition,stiffness_modulation,anisotropy,active_curvature,initial_lateral_defect,radius,E0,input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,U_gravity,U_elastic,U_elastic_straight,U_info,U_CC,U_kinetic,info_gain_ratio
fixed,0.0,1.0,0.0,0.02,0.01,1000000.0,1.0,0.0,0.0,0.0,3.9455020427703857,15.492329597473145,True,,1.3682329836154068,3.2822712283789053e-17,0.9985996862685974,0.00015309183545716574,0.05746808397209598,0.9984826736825008,0.00015285954518623232,0.015285954518623423,0.012997452585891828,0.00010312516021452126,9.711511448106617e-05,1.76709830044811e-08,1.5395028682351768,1.5395028682351768,0.013100577746106349,0.0007724885147092333,0.0,1.540275356749886,9.713278546407065e-05,0.0
fixed,0.0,1.0,5.0,0.02,0.01,1000000.0,1.0,5.0,25.0,0.0,1.517873764038086,0.10148811340332031,True,,53.839977823751596,0.023906676305539474,0.4661723734347616,0.0007723378111255185,0.06450911397117343,0.12083847016914426,0.0001486597508300101,-0.45023851876672893,1.180276484171316,0.012521545373979918,0.13037078648213377,4.0637305222718205e-05,0.1224400512138579,0.1224400512138579,1.192798029545296,2.2699413164223934,5.91305252800951,-3.5206711603732592,0.13041142378735648,2.4716178649442475
fixed,0.0,5.0,0.0,0.02,0.01,1000000.0,5.0,0.0,0.0,0.0,1.479717493057251,0.09760761260986328,True,,1.368268294350098,0.0003860495049933828,0.9985988850321023,0.000727879722091578,0.20162368888872417,0.9984816198610309,0.0007267745239779958,0.015285934248216969,0.013001240670645346,0.0001031301334139125,9.714471821851704e-05,1.7692475631748578e-08,1.5395025083617095,1.5395025083617095,0.013104370804059257,0.0007734860764814747,0.0,1.540275994438191,9.716241069414879e-05,0.0
fixed,0.0,5.0,5.0,0.02,0.01,1000000.0,5.0,5.0,25.0,0.0,1.5005393028259277,0.10052871704101562,True,,53.83999772726466,0.03340340548190245,0.46617231400113285,0.0035116227209175265,0.020720189868932332,0.12083760238953137,0.0006759183571747985,-0.4502382073128566,1.1802777655685688,0.01252161456987266,0.1303706537269413,4.06371753078014e-05,0.12243845017337923,0.12243845017337923,1.1927993801384413,2.269949970267259,5.913051846551521,-3.5206634261108825,0.1304112909022491,2.4716102937258135
fixed,0.5,1.0,0.0,0.02,0.01,1000000.0,1.0,0.0,0.0,0.0,1.5072128772735596,0.0953521728515625,True,,1.4034772097055337,1.2402063545371922e-17,0.9942868221876164,0.0001725352652881564,0.0628745177864094,0.9941388487004313,0.0001715240099937913,0.01715240099937937,0.014921612392778406,0.005357138650815486,0.0033431882213483554,2.6996167586661553e-08,1.5310310559901184,1.5310310559901184,0.02027875104359389,0.000938042743812704,0.0,1.531969098733931,0.003343215217515942,0.0
fixed,0.5,1.0,5.0,0.02,0.01,1000000.0,1.0,5.0,25.0,0.0,1.497727870941162,0.09751224517822266,True,,56.72065492819907,0.02811196402381684,0.5034823447948591,0.0008867848451522957,0.07496551519131288,0.0909711922542302,0.00016753763934146716,-0.4951956034044655,1.211521721046193,0.009252264209905246,0.09820548655773151,3.629768514420291e-05,0.0775996006091883,0.0775996006091883,1.2207739852560984,2.9781696219984224,7.50331432099543,-4.447545098387819,0.09824178424287572,2.45545843759515
fixed,0.5,5.0,0.0,0.02,0.01,1000000.0,5.0,0.0,0.0,0.0,1.4996631145477295,0.09681320190429688,True,,1.4035108332868202,0.0006502616782649047,0.9942857857212674,0.0008129656444891101,0.22479863721463927,0.9941374988072653,0.0008081996324286404,0.017152374936042068,0.014925808836622166,0.005357183513044742,0.003343215333618209,2.7022321006427936e-08,1.5310305290468704,1.5310305290468704,0.020282992349666906,0.0009393048444043251,0.0,1.5319698338912748,0.0033432423559392153,0.0
fixed,0.5,5.0,5.0,0.02,0.01,1000000.0,5.0,5.0,25.0,0.0,1.4892964363098145,0.09636497497558594,True,,56.72065986632679,0.03430518196505001,0.5034824621264832,0.004097770023258229,0.025896754704405618,0.09097044722232171,0.00077418072694056,-0.49519528273734437,1.211523922178711,0.009252334478818933,0.09820527538601437,3.629758682063007e-05,0.07759810339737065,0.07759810339737065,1.22077625665753,2.978178342844454,7.503312034131355,-4.44753558788953,0.09824157297283499,2.4554518846950906
pinned,0.0,1.0,0.0,0.02,0.01,1000000.0,1.0,0.0,0.0,0.0,1.3999154567718506,0.09697914123535156,True,,1.3772466676707915,2.0887395984964817e-17,0.9983765255067163,0.0001320446986826766,0.10552455454906062,-0.13092620982749015,0.00013183032748238397,0.013183032748239096,0.011259747944408632,8.294542762814509e-10,2.9584561113169503,3.407244834512542e-08,-1.94195130101896,-1.94195130101896,0.011259748773862908,0.0015094458558788432,0.0,-1.940441855163081,2.9584561453893987,0.0
pinned,0.0,1.0,5.0,0.02,0.01,1000000.0,1.0,5.0,25.0,0.0,1.4102704524993896,0.09795475006103516,True,,46.151663980738896,0.01817696081456927,0.5638887948852218,0.0004819317253902461,0.11852462023940326,-0.4682932166304454,0.00013213258045235304,-0.22061866220292617,1.277694919895747,0.00010731334809003194,2.9728612006087283,1.9913387502543525e-05,-1.9419513010189662,-1.9419513010189662,1.277802233243837,1.7840494880513367,5.326394031812625,-5.484295844780254,2.972881113996231,1.4295203713957467
