Milestone,L,tau,T_pred,Free_Energy,Stable
Supine,0.0,0.05,0.0,0.06942599999999999,True
Supine,0.0,0.05,0.010344827586206896,0.06942599999999999,True
Supine,0.0,0.05,0.020689655172413793,0.06942599999999999,True
Supine,0.0,0.05,0.03103448275862069,0.06942599999999999,True
Supine,0.0,0.05,0.041379310344827586,0.06942599999999999,True
Supine,0.0,0.05,0.05172413793103448,0.06942599999999999,True
Supine,0.0,0.05,0.06206896551724138,0.06942599999999999,True
Supine,0.0,0.05,0.07241379310344828,0.06942599999999999,True
Supine,0.0,0.05,0.08275862068965517,0.06942599999999999,True
Supine,0.0,0.05,0.09310344827586206,0.06942599999999999,True
Supine,0.0,0.05,0.10344827586206896,0.06942599999999999,True
Supine,0.0,0.05,0.11379310344827587,0.06942599999999999,True
Supine,0.0,0.05,0.12413793103448276,0.06942599999999999,True
Supine,0.0,0.05,0.13448275862068965,0.06942599999999999,True
Supine,0.0,0.05,0.14482758620689656,0.06942599999999999,True
Supine,0.0,0.05,0.15517241379310345,0.06942599999999999,True
Supine,0.0,0.05,0.16551724137931034,0.06942599999999999,True
Supine,0.0,0.05,0.17586206896551723,0.06942599999999999,True
Supine,0.0,0.05,0.18620689655172412,0.06942599999999999,True
Supine,0.0,0.05,0.19655172413793104,0.06942599999999999,True
Supine,0.0,0.05,0.20689655172413793,0.06942599999999999,True
Supine,0.0,0.05,0.21724137931034482,0.06942599999999999,True
Supine,0.0,0.05,0.22758620689655173,0.06942599999999999,True
Supine,0.0,0.05,0.23793103448275862,0.06942599999999999,True
Supine,0.0,0.05,0.2482758620689655,0.06942599999999999,True
Supine,0.0,0.05,0.25862068965517243,0.06942599999999999,True
Supine,0.0,0.05,0.2689655172413793,0.06942599999999999,True
Supine,0.0,0.05,0.2793103448275862,0.06942599999999999,True
Supine,0.0,0.05,0.2896551724137931,0.06942599999999999,True
Supine,0.0,0.05,0.3,0.06942599999999999,True
Head Control,0.15,0.08,0.0,,False
Head Control,0.15,0.08,0.010344827586206896,,False
Head Control,0.15,0.08,0.020689655172413793,77.02575583573112,True
Head Control,0.15,0.08,0.03103448275862069,4.694868953642366,True
Head Control,0.15,0.08,0.041379310344827586,2.2000873168008983,True
Head Control,0.15,0.08,0.05172413793103448,1.6919535213508254,True
Head Control,0.15,0.08,0.06206896551724138,1.6138388732494993,True
Head Control,0.15,0.08,0.07241379310344828,1.7637985767770232,True
Head Control,0.15,0.08,0.08275862068965517,2.015768073335831,True
Head Control,0.15,0.08,0.09310344827586206,7.918012350083321,True
Head Control,0.15,0.08,0.10344827586206896,8.56349019132007,True
Head Control,0.15,0.08,0.11379310344827587,8.761992830356519,True
Head Control,0.15,0.08,0.12413793103448276,8.900614763705706,True
Head Control,0.15,0.08,0.13448275862068965,9.020416099532362,True
Head Control,0.15,0.08,0.14482758620689656,9.129751997881657,True
Head Control,0.15,0.08,0.15517241379310345,9.231649267243265,True
Head Control,0.15,0.08,0.16551724137931034,9.327526733875146,True
Head Control,0.15,0.08,0.17586206896551723,9.418136189660196,True
Head Control,0.15,0.08,0.18620689655172412,9.503920137829653,True
Head Control,0.15,0.08,0.19655172413793104,9.585181167299995,True
Head Control,0.15,0.08,0.20689655172413793,9.662183152517862,True
Head Control,0.15,0.08,0.21724137931034482,9.735250071281316,True
Head Control,0.15,0.08,0.22758620689655173,9.805004087639924,True
Head Control,0.15,0.08,0.23793103448275862,9.873474960370144,True
Head Control,0.15,0.08,0.2482758620689655,9.946183640486337,True
Head Control,0.15,0.08,0.25862068965517243,10.065164682934363,True
Head Control,0.15,0.08,0.2689655172413793,10.486914306649146,True
Head Control,0.15,0.08,0.2793103448275862,11.216516707166564,True
Head Control,0.15,0.08,0.2896551724137931,12.158813873247166,True
Head Control,0.15,0.08,0.3,16.175939578880623,True
Sitting,0.4,0.12,0.0,,False
Sitting,0.4,0.12,0.010344827586206896,,False
Sitting,0.4,0.12,0.020689655172413793,,False
Sitting,0.4,0.12,0.03103448275862069,,False
Sitting,0.4,0.12,0.041379310344827586,,False
Sitting,0.4,0.12,0.05172413793103448,,False
Sitting,0.4,0.12,0.06206896551724138,,False
Sitting,0.4,0.12,0.07241379310344828,,False
Sitting,0.4,0.12,0.08275862068965517,,False
Sitting,0.4,0.12,0.09310344827586206,,False
Sitting,0.4,0.12,0.10344827586206896,,False
Sitting,0.4,0.12,0.11379310344827587,,False
Sitting,0.4,0.12,0.12413793103448276,,False
Sitting,0.4,0.12,0.13448275862068965,,False
Sitting,0.4,0.12,0.14482758620689656,,False
Sitting,0.4,0.12,0.15517241379310345,,False
Sitting,0.4,0.12,0.16551724137931034,,False
Sitting,0.4,0.12,0.17586206896551723,,False
Sitting,0.4,0.12,0.18620689655172412,,False
Sitting,0.4,0.12,0.19655172413793104,,False
Sitting,0.4,0.12,0.20689655172413793,386.98298101022266,True
Sitting,0.4,0.12,0.21724137931034482,316.8668452078029,True
Sitting,0.4,0.12,0.22758620689655173,219.58789099583066,True
Sitting,0.4,0.12,0.23793103448275862,143.47834400647403,True
Sitting,0.4,0.12,0.2482758620689655,95.56473740289168,True
Sitting,0.4,0.12,0.25862068965517243,67.01979615938863,True
Sitting,0.4,0.12,0.2689655172413793,50.04548419005372,True
Sitting,0.4,0.12,0.2793103448275862,39.74570205560935,True
Sitting,0.4,0.12,0.2896551724137931,33.28374876354472,True
Sitting,0.4,0.12,0.3,26.17399187194522,True
Standing,0.75,0.18,0.0,,False
Standing,0.75,0.18,0.010344827586206896,,False
Standing,0.75,0.18,0.020689655172413793,,False
Standing,0.75,0.18,0.03103448275862069,,False
Standing,0.75,0.18,0.041379310344827586,,False
Standing,0.75,0.18,0.05172413793103448,,False
