Stage,L,tau,T_pred,Free_Energy,Stable
Supine Infant (Stable),0.1,0.05,0.0,,False
Supine Infant (Stable),0.1,0.05,0.01,,False
Supine Infant (Stable),0.1,0.05,0.02,,False
Supine Infant (Stable),0.1,0.05,0.03,,False
Supine Infant (Stable),0.1,0.05,0.04,0.2312690280578653,True
Supine Infant (Stable),0.1,0.05,0.05,0.01901892444335963,True
Supine Infant (Stable),0.1,0.05,0.06,0.10577284648750072,True
Supine Infant (Stable),0.1,0.05,0.07,0.19252953874913098,True
Supine Infant (Stable),0.1,0.05,0.08,0.2792881662831713,True
Supine Infant (Stable),0.1,0.05,0.09,0.36604776160502545,True
Supine Infant (Stable),0.1,0.05,0.1,0.452807215225571,True
Supine Infant (Stable),0.1,0.05,0.11,0.5395687832366879,True
Supine Infant (Stable),0.1,0.05,0.12,0.6263309407460498,True
Supine Infant (Stable),0.1,0.05,0.13,0.7130887403959025,True
Supine Infant (Stable),0.1,0.05,0.14,0.7998404191274503,True
Supine Infant (Stable),0.1,0.05,0.15,0.8865840743125918,True
Supine Infant (Stable),0.1,0.05,0.16,0.9733176320501652,True
Supine Infant (Stable),0.1,0.05,0.17,1.0600388460409207,True
Supine Infant (Stable),0.1,0.05,0.18,1.1467452984819229,True
Supine Infant (Stable),0.1,0.05,0.19,1.2334344021518988,True
Supine Infant (Stable),0.1,0.05,0.2,1.3201034035788615,True
Supine Infant (Stable),0.1,0.05,0.21,1.406749387196686,True
Supine Infant (Stable),0.1,0.05,0.22,1.4933692803961274,True
Supine Infant (Stable),0.1,0.05,0.23,1.5799598593730992,True
Supine Infant (Stable),0.1,0.05,0.24,1.6665177556765214,True
Supine Infant (Stable),0.1,0.05,0.25,1.7530394633590682,True
Supine Infant (Stable),0.1,0.05,0.26,1.839521346636651,True
Supine Infant (Stable),0.1,0.05,0.27,1.9259596479659737,True
Supine Infant (Stable),0.1,0.05,0.28,2.0123504964539682,True
Supine Infant (Stable),0.1,0.05,0.29,2.0123504964539682,True
Supine Infant (Stable),0.1,0.05,0.3,2.184973836720813,True
Head Control (3mo),0.15,0.08,0.0,,False
Head Control (3mo),0.15,0.08,0.01,,False
Head Control (3mo),0.15,0.08,0.02,,False
Head Control (3mo),0.15,0.08,0.03,,False
Head Control (3mo),0.15,0.08,0.04,,False
Head Control (3mo),0.15,0.08,0.05,,False
Head Control (3mo),0.15,0.08,0.06,2.7464968093195936,True
Head Control (3mo),0.15,0.08,0.07,1.703024896653944,True
Head Control (3mo),0.15,0.08,0.08,1.8079247203759916,True
Head Control (3mo),0.15,0.08,0.09,4.165017187371336,True
Head Control (3mo),0.15,0.08,0.1,5.377445953868257,True
Head Control (3mo),0.15,0.08,0.11,6.130915102515495,True
Head Control (3mo),0.15,0.08,0.12,6.6545539548510835,True
Head Control (3mo),0.15,0.08,0.13,7.046228280043457,True
Head Control (3mo),0.15,0.08,0.14,7.354898992365042,True
Head Control (3mo),0.15,0.08,0.15,7.607869198305241,True
Head Control (3mo),0.15,0.08,0.16,7.822376445547495,True
Head Control (3mo),0.15,0.08,0.17,8.01186681099405,True
Head Control (3mo),0.15,0.08,0.18,8.195430944116762,True
Head Control (3mo),0.15,0.08,0.19,8.442414563929262,True
Head Control (3mo),0.15,0.08,0.2,8.8947542576102,True
Head Control (3mo),0.15,0.08,0.21,9.573942600309204,True
Head Control (3mo),0.15,0.08,0.22,10.936437180248761,True
