anisotropy,gravity,active_curvature,initial_lateral_defect,cobb_angle,max_torsion,s_lat,u_cc,runtime_sec,peak_memory_mb
1.0,0.0,10.0,0.05,87.06774851975743,20.178712706932693,0.8490105704520433,-20.430221011874124,7.80790901184082,15.5226411819458
1.0,1.62,10.0,0.05,87.06774851975743,20.178712706932693,0.8490105704520433,-20.430221011874124,5.567592144012451,0.16367435455322266
1.0,3.72,10.0,0.05,87.06774851975743,20.178712706932693,0.8490105704520433,-20.430221011874124,5.514556646347046,0.16193294525146484
1.0,9.81,10.0,0.05,87.06774851975743,20.178712706932693,0.8490105704520433,-20.430221011874124,6.841837406158447,0.16141605377197266
1.0,19.62,10.0,0.05,87.06774851975743,20.178712706932693,0.8490105704520433,-20.430221011874124,7.015050888061523,0.16133594512939453
2.0,0.0,10.0,0.05,39.83046729648866,29.41730941146169,0.24242228734403276,-20.075668776257242,5.6980016231536865,0.160675048828125
2.0,1.62,10.0,0.05,39.83046729648866,29.41730941146169,0.24242228734403276,-20.075668776257242,9.012260437011719,0.16009044647216797
2.0,3.72,10.0,0.05,39.83046729648866,29.41730941146169,0.24242228734403276,-20.075668776257242,8.876519680023193,0.16039371490478516
2.0,9.81,10.0,0.05,39.83046729648866,29.41730941146169,0.24242228734403276,-20.075668776257242,5.48748517036438,0.16078758239746094
2.0,19.62,10.0,0.05,39.83046729648866,29.41730941146169,0.24242228734403276,-20.075668776257242,6.326246500015259,0.17231178283691406
4.0,0.0,10.0,0.05,8.194061987816813,1.5975196431846799,0.09786926731336684,-20.536087838428358,5.544056415557861,0.1580667495727539
4.0,1.62,10.0,0.05,8.194061987816813,1.5975196431846799,0.09786926731336684,-20.536087838428358,5.564809560775757,0.15993976593017578
4.0,3.72,10.0,0.05,8.194061987816813,1.5975196431846799,0.09786926731336684,-20.536087838428358,5.510875940322876,0.15949726104736328
4.0,9.81,10.0,0.05,8.194061987816813,1.5975196431846799,0.09786926731336684,-20.536087838428358,5.491548776626587,0.16186809539794922
4.0,19.62,10.0,0.05,8.194061987816813,1.5975196431846799,0.09786926731336684,-20.536087838428358,5.49639368057251,0.15961360931396484
