active_curvature,anisotropy,initial_lateral_defect,cobb_angle_deg,s_lat
5.0,3.0,0.05,43.15811273235282,0.08871711131228426
7.0,3.0,0.05,59.79031463985126,1.2239585937561401
9.0,3.0,0.05,91.08110406688968,0.6938932619574542
11.0,3.0,0.05,93.39554943913315,0.8534434225819457
13.0,3.0,0.05,76.74379390873308,0.46777228161673223
15.0,3.0,0.05,108.14733537558851,0.27908727311901477
17.0,3.0,0.05,101.79447361192983,1.115424390702978
19.0,3.0,0.05,58.130181056704735,0.3110790145863761
21.0,3.0,0.05,65.48697972619341,0.41213774041768264
23.0,3.0,0.05,59.96334152158817,0.5131636273068885
25.0,3.0,0.05,83.4859392400749,0.5133291861489111
