active_curvature,anisotropy,torsion_drive,initial_lateral_defect,gravity,duration
0.0,3.0,0.1,0.05,9.81,1.0
2.0,3.0,0.1,0.05,9.81,1.0
4.0,3.0,0.1,0.05,9.81,1.0
6.0,3.0,0.1,0.05,9.81,1.0
8.0,3.0,0.1,0.05,9.81,1.0
10.0,3.0,0.1,0.05,9.81,1.0
12.0,3.0,0.1,0.05,9.81,1.0
14.0,3.0,0.1,0.05,9.81,1.0
16.0,3.0,0.1,0.05,9.81,1.0
18.0,3.0,0.1,0.05,9.81,1.0
20.0,3.0,0.1,0.05,9.81,1.0
22.0,3.0,0.1,0.05,9.81,1.0
24.0,3.0,0.1,0.05,9.81,1.0
26.0,3.0,0.1,0.05,9.81,1.0
28.0,3.0,0.1,0.05,9.81,1.0
30.0,3.0,0.1,0.05,9.81,1.0
