k_c,k_s,g_a,eval1_real,eval1_imag,eval2_real,eval2_imag
10.0,12.0,0.0,-12.0,0.0,-10.0,0.0
10.0,12.0,0.10101010101010101,-11.994885400181312,0.0,-10.005114599818688,0.0
10.0,12.0,0.20202020202020202,-11.979381354721294,0.0,-10.020618645278706,0.0
10.0,12.0,0.30303030303030304,-11.952980920819176,0.0,-10.047019079180824,0.0
10.0,12.0,0.40404040404040403,-11.914741139286338,0.0,-10.085258860713662,0.0
10.0,12.0,0.5050505050505051,-11.863089791011474,0.0,-10.136910208988526,0.0
10.0,12.0,0.6060606060606061,-11.795418469600405,0.0,-10.204581530399595,0.0
10.0,12.0,0.7070707070707071,-11.707142853462107,0.0,-10.292857146537894,0.0
10.0,12.0,0.8080808080808081,-11.589071648962559,0.0,-10.410928351037441,0.0
10.0,12.0,0.9090909090909091,-11.416597790450531,0.0,-10.583402209549469,0.0
10.0,12.0,1.0101010101010102,-11.0,-0.1424922826228835,-11.0,0.1424922826228835
10.0,12.0,1.1111111111111112,-11.0,-0.4843221048378517,-11.0,0.4843221048378517
10.0,12.0,1.2121212121212122,-11.0,-0.6850093669974142,-11.0,0.6850093669974142
10.0,12.0,1.3131313131313131,-11.0,-0.8510662991365391,-11.0,0.8510662991365391
10.0,12.0,1.4141414141414141,-11.0,-0.9998979643893056,-11.0,0.9998979643893056
10.0,12.0,1.5151515151515151,-11.0,-1.1382812103632085,-11.0,1.1382812103632085
10.0,12.0,1.6161616161616161,-11.0,-1.26963710151922,-11.0,1.26963710151922
10.0,12.0,1.7171717171717171,-11.0,-1.3959508251562676,-11.0,1.3959508251562676
10.0,12.0,1.8181818181818181,-11.0,-1.5184811898627342,-11.0,1.5184811898627342
10.0,12.0,1.9191919191919191,-11.0,-1.6380774165745517,-11.0,1.6380774165745517
10.0,12.0,2.0202020202020203,-11.0,-1.7553393411042557,-11.0,1.7553393411042557
10.0,12.0,2.121212121212121,-11.0,-1.8707059798849266,-11.0,1.8707059798849266
10.0,12.0,2.2222222222222223,-11.0,-1.9845078999435284,-11.0,1.9845078999435284
10.0,12.0,2.323232323232323,-11.0,-2.096999863545885,-11.0,2.096999863545885
10.0,12.0,2.4242424242424243,-11.0,-2.208382061939643,-11.0,2.208382061939643
10.0,12.0,2.525252525252525,-11.0,-2.3188144204084673,-11.0,2.3188144204084673
10.0,12.0,2.6262626262626263,-11.0,-2.4284265239252902,-11.0,2.4284265239252902
10.0,12.0,2.727272727272727,-11.0,-2.537324679445975,-11.0,2.537324679445975
10.0,12.0,2.8282828282828283,-11.0,-2.645597051094425,-11.0,2.645597051094425
10.0,12.0,2.929292929292929,-11.0,-2.753317465459722,-11.0,2.753317465459722
10.0,12.0,3.0303030303030303,-11.0,-2.8605482788206396,-11.0,2.8605482788206396
10.0,12.0,3.131313131313131,-11.0,-2.9673425697640714,-11.0,2.9673425697640714
10.0,12.0,3.2323232323232323,-11.0,-3.0737458382593235,-11.0,3.0737458382593235
10.0,12.0,3.3333333333333335,-11.0,-3.1797973380564857,-11.0,3.1797973380564857
10.0,12.0,3.4343434343434343,-11.0,-3.285531132863887,-11.0,3.285531132863887
10.0,12.0,3.5353535353535355,-11.0,-3.3909769418173212,-11.0,3.3909769418173212
10.0,12.0,3.6363636363636362,-11.0,-3.4961608223689833,-11.0,3.4961608223689833
10.0,12.0,3.7373737373737375,-11.0,-3.6011057264138926,-11.0,3.6011057264138926
10.0,12.0,3.8383838383838382,-11.0,-3.705831956628127,-11.0,3.705831956628127
10.0,12.0,3.9393939393939394,-11.0,-3.8103575435559454,-11.0,3.8103575435559454
10.0,12.0,4.040404040404041,-11.0,-3.9146985592396897,-11.0,3.9146985592396897
10.0,12.0,4.141414141414141,-11.0,-4.018869379652072,-11.0,4.018869379652072
10.0,12.0,4.242424242424242,-11.0,-4.122882905529686,-11.0,4.122882905529686
10.0,12.0,4.343434343434343,-11.0,-4.226750749183695,-11.0,4.226750749183695
10.0,12.0,4.444444444444445,-11.0,-4.33048339331224,-11.0,4.33048339331224
10.0,12.0,4.545454545454545,-11.0,-4.434090326638982,-11.0,4.434090326638982
10.0,12.0,4.646464646464646,-11.0,-4.537580160266684,-11.0,4.537580160266684
10.0,12.0,4.747474747474747,-11.0,-4.640960727900034,-11.0,4.640960727900034
10.0,12.0,4.848484848484849,-11.0,-4.744239172510925,-11.0,4.744239172510925
10.0,12.0,4.94949494949495,-11.0,-4.847422021557026,-11.0,4.847422021557026
10.0,12.0,5.05050505050505,-11.0,-4.95051525249413,-11.0,4.95051525249413
10.0,12.0,5.151515151515151,-11.0,-5.053524350024462,-11.0,5.053524350024462
10.0,12.0,5.252525252525253,-11.0,-5.156454356281598,-11.0,5.156454356281598
10.0,12.0,5.353535353535354,-11.0,-5.259309914955849,-11.0,5.259309914955849
10.0,12.0,5.454545454545454,-11.0,-5.362095310203137,-11.0,5.362095310203137
10.0,12.0,5.555555555555555,-11.0,-5.4648145010479725,-11.0,5.4648145010479725
10.0,12.0,5.656565656565657,-11.0,-5.567471151881979,-11.0,5.567471151881979
10.0,12.0,5.757575757575758,-11.0,-5.670068659568777,-11.0,5.670068659568777
10.0,12.0,5.858585858585858,-11.0,-5.772610177590567,-11.0,5.772610177590567
10.0,12.0,5.959595959595959,-11.0,-5.875098637608775,-11.0,5.875098637608775
10.0,12.0,6.0606060606060606,-11.0,-5.977536768758091,-11.0,5.977536768758091
10.0,12.0,6.161616161616162,-11.0,-6.079927114948787,-11.0,6.079927114948787
10.0,12.0,6.262626262626262,-11.0,-6.182272050414489,-11.0,6.182272050414489
10.0,12.0,6.363636363636363,-11.0,-6.284573793710678,-11.0,6.284573793710678
10.0,12.0,6.4646464646464645,-11.0,-6.386834420342055,-11.0,6.386834420342055
10.0,12.0,6.565656565656566,-11.0,-6.489055874173775,-11.0,6.489055874173775
10.0,12.0,6.666666666666667,-11.0,-6.59123997776173,-11.0,6.59123997776173
10.0,12.0,6.767676767676767,-11.0,-6.6933884417200735,-11.0,6.6933884417200735
10.0,12.0,6.8686868686868685,-11.0,-6.795502873229574,-11.0,6.795502873229574
10.0,12.0,6.96969696969697,-11.0,-6.8975847837778055,-11.0,6.8975847837778055
10.0,12.0,7.070707070707071,-11.0,-6.999635596211204,-11.0,6.999635596211204
10.0,12.0,7.171717171717171,-11.0,-7.101656651169707,-11.0,7.101656651169707
10.0,12.0,7.2727272727272725,-11.0,-7.203649212966375,-11.0,7.203649212966375
10.0,12.0,7.373737373737374,-10.999999999999998,-7.305614474967272,-10.999999999999998,7.305614474967272
10.0,12.0,7.474747474747475,-11.0,-7.407553564520728,-11.0,7.407553564520728
10.0,12.0,7.575757575757575,-11.0,-7.509467547479535,-11.0,7.509467547479535
10.0,12.0,7.6767676767676765,-11.0,-7.611357432354953,-11.0,7.611357432354953
10.0,12.0,7.777777777777778,-11.0,-7.713224174137158,-11.0,7.713224174137158
10.0,12.0,7.878787878787879,-11.0,-7.815068677813063,-11.0,7.815068677813063
10.0,12.0,7.979797979797979,-11.0,-7.916891801609259,-11.0,7.916891801609259
10.0,12.0,8.080808080808081,-11.0,-8.018694359984872,-11.0,8.018694359984872
10.0,12.0,8.181818181818182,-11.0,-8.120477126396612,-11.0,8.120477126396612
10.0,12.0,8.282828282828282,-11.0,-8.222240835856129,-11.0,8.222240835856129
10.0,12.0,8.383838383838384,-11.0,-8.323986187297631,-11.0,8.323986187297631
10.0,12.0,8.484848484848484,-11.0,-8.425713845772096,-11.0,8.425713845772096
10.0,12.0,8.585858585858587,-11.0,-8.52742444448273,-11.0,8.52742444448273
10.0,12.0,8.686868686868687,-11.0,-8.629118586674986,-11.0,8.629118586674986
10.0,12.0,8.787878787878787,-11.0,-8.730796847393139,-11.0,8.730796847393139
10.0,12.0,8.88888888888889,-11.0,-8.832459775114312,-11.0,8.832459775114312
10.0,12.0,8.98989898989899,-11.0,-8.934107893269866,-11.0,8.934107893269866
10.0,12.0,9.09090909090909,-11.0,-9.035741701663097,-11.0,9.035741701663097
10.0,12.0,9.191919191919192,-11.0,-9.137361677791482,-11.0,9.137361677791482
10.0,12.0,9.292929292929292,-11.0,-9.2389682780808,-11.0,9.2389682780808
10.0,12.0,9.393939393939394,-11.0,-9.340561939038059,-11.0,9.340561939038059
10.0,12.0,9.494949494949495,-11.0,-9.442143078329286,-11.0,9.442143078329286
10.0,12.0,9.595959595959595,-11.0,-9.543712095787939,-11.0,9.543712095787939
10.0,12.0,9.696969696969697,-11.0,-9.645269374359048,-11.0,9.645269374359048
10.0,12.0,9.797979797979798,-11.0,-9.746815280983848,-11.0,9.746815280983848
10.0,12.0,9.8989898989899,-11.0,-9.848350167429267,-11.0,9.848350167429267
10.0,12.0,10.0,-11.000000000000002,-9.9498743710662,-11.000000000000002,9.9498743710662
10.0,10.5,0.0,-10.5,0.0,-10.0,0.0
10.0,10.5,0.10101010101010101,-10.478685284821584,0.0,-10.021314715178416,0.0
10.0,10.5,0.20202020202020202,-10.39726791224064,0.0,-10.10273208775936,0.0
10.0,10.5,0.30303030303030304,-10.25,-0.17125234174935278,-10.25,0.17125234174935278
10.0,10.5,0.40404040404040403,-10.25,-0.31740927537980523,-10.25,0.31740927537980523
10.0,10.5,0.5050505050505051,-10.25,-0.43883483527606343,-10.25,0.43883483527606343
10.0,10.5,0.6060606060606061,-10.25,-0.5520955154849103,-10.25,0.5520955154849103
10.0,10.5,0.7070707070707071,-10.25,-0.6613992627736058,-10.25,0.6613992627736058
10.0,10.5,0.8080808080808081,-10.25,-0.7684364595648306,-10.25,0.7684364595648306
10.0,10.5,0.9090909090909091,-10.25,-0.8740402055922459,-10.25,0.8740402055922459
10.0,10.5,1.0101010101010102,-10.25,-0.9786746398099219,-10.25,0.9786746398099219
10.0,10.5,1.1111111111111112,-10.25,-1.082620848328059,-10.25,1.082620848328059
10.0,10.5,1.2121212121212122,-10.25,-1.1860597931277317,-10.25,1.1860597931277317
10.0,10.5,1.3131313131313131,-10.25,-1.2891135890703989,-10.25,1.2891135890703989
10.0,10.5,1.4141414141414141,-10.25,-1.391867787970494,-10.25,1.391867787970494
10.0,10.5,1.5151515151515151,-10.25,-1.494384192189522,-10.25,1.494384192189522
10.0,10.5,1.6161616161616161,-10.25,-1.596708605085514,-10.25,1.596708605085514
10.0,10.5,1.7171717171717171,-10.25,-1.698875718307394,-10.25,1.698875718307394
10.0,10.5,1.8181818181818181,-10.25,-1.8009123032415935,-10.25,1.8009123032415935
10.0,10.5,1.9191919191919191,-10.25,-1.9028393580887373,-10.25,1.9028393580887373
10.0,10.5,2.0202020202020203,-10.25,-2.0046735899962176,-10.25,2.0046735899962176
10.0,10.5,2.121212121212121,-10.25,-2.106428461443023,-10.25,2.106428461443023
10.0,10.5,2.2222222222222223,-10.25,-2.2081149437785776,-10.25,2.2081149437785776
10.0,10.5,2.323232323232323,-10.25,-2.3097420695202002,-10.25,2.3097420695202002
10.0,10.5,2.4242424242424243,-10.25,-2.4113173435897624,-10.25,2.4113173435897624
10.0,10.5,2.525252525252525,-10.25,-2.5128470539000687,-10.25,2.5128470539000687
10.0,10.5,2.6262626262626263,-10.25,-2.6143365089643424,-10.25,2.6143365089643424
10.0,10.5,2.727272727272727,-10.25,-2.7157902218186174,-10.25,2.7157902218186174
10.0,10.5,2.8282828282828283,-10.25,-2.817212053921308,-10.25,2.817212053921308
10.0,10.5,2.929292929292929,-10.25,-2.9186053288523865,-10.25,2.9186053288523865
10.0,10.5,3.0303030303030303,-10.25,-3.019972922968635,-10.25,3.019972922968635
10.0,10.5,3.131313131313131,-10.25,-3.121317338293888,-10.25,3.121317338293888
10.0,10.5,3.2323232323232323,-10.25,-3.222640761583038,-10.25,3.222640761583038
10.0,10.5,3.3333333333333335,-10.25,-3.323945112529855,-10.25,3.323945112529855
10.0,10.5,3.4343434343434343,-10.25,-3.425232083380315,-10.25,3.425232083380315
10.0,10.5,3.5353535353535355,-10.25,-3.5265031716895905,-10.25,3.5265031716895905
10.0,10.5,3.6363636363636362,-10.25,-3.627759707569917,-10.25,3.627759707569917
10.0,10.5,3.7373737373737375,-10.25,-3.7290028764819874,-10.25,3.7290028764819874
10.0,10.5,3.8383838383838382,-10.25,-3.8302337383985114,-10.25,3.8302337383985114
10.0,10.5,3.9393939393939394,-10.25,-3.931453243996894,-10.25,3.931453243996894
10.0,10.5,4.040404040404041,-10.25,-4.032662248405301,-10.25,4.032662248405301
10.0,10.5,4.141414141414141,-10.25,-4.133861522923213,-10.25,4.133861522923213
10.0,10.5,4.242424242424242,-10.25,-4.2350517650565855,-10.25,4.2350517650565855
10.0,10.5,4.343434343434343,-10.25,-4.336233607143982,-10.25,4.336233607143982
10.0,10.5,4.444444444444445,-10.25,-4.437407623799405,-10.25,4.437407623799405
10.0,10.5,4.545454545454545,-10.25,-4.538574338357078,-10.25,4.538574338357078
10.0,10.5,4.646464646464646,-10.25,-4.639734228471046,-10.25,4.639734228471046
10.0,10.5,4.747474747474747,-10.25,-4.740887730996213,-10.25,4.740887730996213
10.0,10.5,4.848484848484849,-10.25,-4.84203524625618,-10.25,4.84203524625618
10.0,10.5,4.94949494949495,-10.25,-4.943177141786041,-10.25,4.943177141786041
10.0,10.5,5.05050505050505,-10.25,-5.044313755623951,-10.25,5.044313755623951
10.0,10.5,5.151515151515151,-10.25,-5.145445399213772,-10.25,5.145445399213772
10.0,10.5,5.252525252525253,-10.25,-5.2465723599713625,-10.25,5.2465723599713625
10.0,10.5,5.353535353535354,-10.25,-5.347694903559187,-10.25,5.347694903559187
