chi_kappa,L,P_cost,S_supply,R_deficit,In_Deficit
0.01,0.1,0.007523700513506614,0.078257122951284,0.09614077581398194,False
0.01,0.12631578947368421,0.007523700513506608,0.0921603734596511,0.08163704454605507,False
0.01,0.15263157894736842,0.007523700513506609,0.10521434485899063,0.07150831498870189,False
0.01,0.17894736842105263,0.007523700513506609,0.11760657399541748,0.0639734689814174,False
0.01,0.20526315789473684,0.007523700513506611,0.12946178230954772,0.05811522427149331,False
0.01,0.23157894736842105,0.007523700513506612,0.14086828596948178,0.053409470142460405,False
0.01,0.2578947368421053,0.007523700513506608,0.15189154959270423,0.04953337123547255,False
0.01,0.28421052631578947,0.007523700513506607,0.162581822900903,0.046276394121207876,False
0.01,0.31052631578947365,0.007523700513506608,0.1729787541762347,0.04349493988054331,False
0.01,0.3368421052631579,0.007523700513506607,0.18311433265185337,0.0410874474135843,False
0.01,0.3631578947368421,0.007523700513506606,0.19301484850613185,0.03897990528571996,False
0.01,0.3894736842105263,0.0075237005135066065,0.2027022458833076,0.037117006181756264,False
0.01,0.4157894736842105,0.00752370051350661,0.2121950851949784,0.03545652580309932,False
0.01,0.44210526315789467,0.007523700513506608,0.22150924509292919,0.03396562753103244,False
0.01,0.46842105263157896,0.00752370051350661,0.230658445819788,0.03261836126037557,False
0.01,0.49473684210526314,0.007523700513506608,0.23965464685273533,0.03139392710432118,False
0.01,0.5210526315789473,0.007523700513506609,0.24850835410157143,0.03027544301561584,False
0.01,0.5473684210526315,0.00752370051350661,0.2572288607522977,0.029249052736549912,False
0.01,0.5736842105263158,0.007523700513506607,0.2658244385823452,0.028303268704829666,False
0.01,0.6,0.007523700513506603,0.27430249173193366,0.0274284803831066,False
0.02,0.1,0.030094802054026457,0.078257122951284,0.38456310325592774,False
0.02,0.12631578947368421,0.030094802054026433,0.0921603734596511,0.3265481781842203,False
0.02,0.15263157894736842,0.030094802054026436,0.10521434485899063,0.28603325995480755,False
0.02,0.17894736842105263,0.030094802054026436,0.11760657399541748,0.2558938759256696,False
0.02,0.20526315789473684,0.030094802054026443,0.12946178230954772,0.23246089708597323,False
0.02,0.23157894736842105,0.030094802054026447,0.14086828596948178,0.21363788056984162,False
0.02,0.2578947368421053,0.030094802054026436,0.15189154959270423,0.19813348494189023,False
0.02,0.28421052631578947,0.03009480205402643,0.162581822900903,0.1851055764848315,False
0.02,0.31052631578947365,0.03009480205402643,0.1729787541762347,0.1739797595221732,False
0.02,0.3368421052631579,0.03009480205402643,0.18311433265185337,0.1643497896543372,False
0.02,0.3631578947368421,0.030094802054026423,0.19301484850613185,0.15591962114287983,False
0.02,0.3894736842105263,0.030094802054026426,0.2027022458833076,0.14846802472702506,False
0.02,0.4157894736842105,0.030094802054026433,0.2121950851949784,0.14182610321239725,False
0.02,0.44210526315789467,0.030094802054026433,0.22150924509292919,0.13586251012412975,False
0.02,0.46842105263157896,0.03009480205402644,0.230658445819788,0.13047344504150227,False
0.02,0.49473684210526314,0.030094802054026436,0.23965464685273533,0.12557570841728474,False
0.02,0.5210526315789473,0.030094802054026436,0.24850835410157143,0.12110177206246336,False
0.02,0.5473684210526315,0.03009480205402644,0.2572288607522977,0.11699621094619965,False
