chi_kappa,L,R_deficit
0.01,0.25,0.0506
0.01,0.3132,0.0432
0.01,0.3763,0.038
0.01,0.4395,0.0341
0.01,0.5026,0.031
0.0289,0.25,0.4242
0.0289,0.3132,0.3623
0.0289,0.3763,0.3186
0.0289,0.4395,0.2858
0.0289,0.5026,0.2602
0.0479,0.25,1.1612
0.0479,0.3132,0.9919
0.0479,0.3763,0.8722
0.0479,0.4395,0.7824
0.0479,0.5026,0.7122
0.0668,0.25,2.2618
0.0668,0.3132,1.9319
0.0668,0.3763,1.6987
0.0668,0.4395,1.5239
0.0668,0.5026,1.3872
0.0858,0.25,3.7258
0.0858,0.3132,3.1823
0.0858,0.3763,2.7983
0.0858,0.4395,2.5103
0.0858,0.5026,2.2851
