chi_kappa,L,R_deficit
0.01,0.25,0.0506
0.01,0.2658,0.0485
0.01,0.2816,0.0466
0.01,0.2974,0.0448
0.01,0.3132,0.0432
0.01,0.3289,0.0418
0.01,0.3447,0.0404
0.01,0.3605,0.0392
0.01,0.3763,0.038
0.01,0.3921,0.0369
0.01,0.4079,0.0359
0.01,0.4237,0.035
0.01,0.4395,0.0341
0.01,0.4553,0.0333
0.01,0.4711,0.0325
0.01,0.4868,0.0317
0.01,0.5026,0.031
0.01,0.5184,0.0304
0.01,0.5342,0.0298
0.01,0.55,0.0292
0.0147,0.25,0.1099
0.0147,0.2658,0.1053
0.0147,0.2816,0.1012
0.0147,0.2974,0.0974
0.0147,0.3132,0.0939
0.0147,0.3289,0.0907
0.0147,0.3447,0.0878
0.0147,0.3605,0.0851
0.0147,0.3763,0.0826
0.0147,0.3921,0.0802
0.0147,0.4079,0.078
0.0147,0.4237,0.076
0.0147,0.4395,0.0741
0.0147,0.4553,0.0723
0.0147,0.4711,0.0706
0.0147,0.4868,0.069
0.0147,0.5026,0.0674
0.0147,0.5184,0.066
0.0147,0.5342,0.0646
0.0147,0.55,0.0633
0.0195,0.25,0.192
0.0195,0.2658,0.1839
0.0195,0.2816,0.1766
0.0195,0.2974,0.17
0.0195,0.3132,0.164
0.0195,0.3289,0.1584
0.0195,0.3447,0.1533
0.0195,0.3605,0.1486
0.0195,0.3763,0.1442
0.0195,0.3921,0.1401
0.0195,0.4079,0.1363
0.0195,0.4237,0.1327
0.0195,0.4395,0.1293
0.0195,0.4553,0.1262
0.0195,0.4711,0.1232
0.0195,0.4868,0.1204
0.0195,0.5026,0.1177
0.0195,0.5184,0.1152
0.0195,0.5342,0.1128
0.0195,0.55,0.1105
0.0242,0.25,0.2967
0.0242,0.2658,0.2843
0.0242,0.2816,0.273
0.0242,0.2974,0.2628
0.0242,0.3132,0.2534
0.0242,0.3289,0.2449
0.0242,0.3447,0.237
0.0242,0.3605,0.2296
0.0242,0.3763,0.2229
0.0242,0.3921,0.2165
0.0242,0.4079,0.2106
0.0242,0.4237,0.2051
0.0242,0.4395,0.1999
0.0242,0.4553,0.195
0.0242,0.4711,0.1904
0.0242,0.4868,0.1861
0.0242,0.5026,0.182
0.0242,0.5184,0.1781
0.0242,0.5342,0.1744
0.0242,0.55,0.1709
0.0289,0.25,0.4242
0.0289,0.2658,0.4064
0.0289,0.2816,0.3903
0.0289,0.2974,0.3757
0.0289,0.3132,0.3623
0.0289,0.3289,0.3501
0.0289,0.3447,0.3388
0.0289,0.3605,0.3283
0.0289,0.3763,0.3186
0.0289,0.3921,0.3096
0.0289,0.4079,0.3011
0.0289,0.4237,0.2932
0.0289,0.4395,0.2858
0.0289,0.4553,0.2788
0.0289,0.4711,0.2723
0.0289,0.4868,0.266
0.0289,0.5026,0.2602
0.0289,0.5184,0.2546
0.0289,0.5342,0.2493
0.0289,0.55,0.2443
0.0337,0.25,0.5744
0.0337,0.2658,0.5503
0.0337,0.2816,0.5285
0.0337,0.2974,0.5087
0.0337,0.3132,0.4906
0.0337,0.3289,0.474
0.0337,0.3447,0.4587
0.0337,0.3605,0.4445
0.0337,0.3763,0.4314
0.0337,0.3921,0.4192
0.0337,0.4079,0.4077
0.0337,0.4237,0.397
0.0337,0.4395,0.387
0.0337,0.4553,0.3776
0.0337,0.4711,0.3686
0.0337,0.4868,0.3602
0.0337,0.5026,0.3523
0.0337,0.5184,0.3447
0.0337,0.5342,0.3376
0.0337,0.55,0.3308
0.0384,0.25,0.7473
0.0384,0.2658,0.7159
0.0384,0.2816,0.6876
0.0384,0.2974,0.6618
0.0384,0.3132,0.6383
0.0384,0.3289,0.6167
0.0384,0.3447,0.5968
0.0384,0.3605,0.5783
0.0384,0.3763,0.5613
0.0384,0.3921,0.5453
0.0384,0.4079,0.5305
0.0384,0.4237,0.5166
0.0384,0.4395,0.5035
0.0384,0.4553,0.4912
0.0384,0.4711,0.4796
0.0384,0.4868,0.4687
0.0384,0.5026,0.4583
0.0384,0.5184,0.4485
0.0384,0.5342,0.4392
0.0384,0.55,0.4303
0.0432,0.25,0.9429
0.0432,0.2658,0.9033
0.0432,0.2816,0.8676
0.0432,0.2974,0.8351
0.0432,0.3132,0.8054
0.0432,0.3289,0.7781
0.0432,0.3447,0.753
0.0432,0.3605,0.7297
0.0432,0.3763,0.7082
0.0432,0.3921,0.6881
0.0432,0.4079,0.6693
0.0432,0.4237,0.6518
0.0432,0.4395,0.6353
0.0432,0.4553,0.6198
0.0432,0.4711,0.6052
0.0432,0.4868,0.5914
0.0432,0.5026,0.5783
0.0432,0.5184,0.5659
0.0432,0.5342,0.5542
0.0432,0.55,0.543
0.0479,0.25,1.1612
0.0479,0.2658,1.1125
0.0479,0.2816,1.0685
0.0479,0.2974,1.0284
0.0479,0.3132,0.9919
0.0479,0.3289,0.9583
0.0479,0.3447,0.9273
0.0479,0.3605,0.8987
0.0479,0.3763,0.8722
0.0479,0.3921,0.8474
0.0479,0.4079,0.8243
0.0479,0.4237,0.8027
0.0479,0.4395,0.7824
0.0479,0.4553,0.7633
0.0479,0.4711,0.7453
0.0479,0.4868,0.7283
0.0479,0.5026,0.7122
0.0479,0.5184,0.697
0.0479,0.5342,0.6825
0.0479,0.55,0.6687
0.0526,0.25,1.4023
0.0526,0.2658,1.3435
0.0526,0.2816,1.2903
0.0526,0.2974,1.2419
0.0526,0.3132,1.1977
0.0526,0.3289,1.1572
0.0526,0.3447,1.1198
0.0526,0.3605,1.0853
0.0526,0.3763,1.0532
0.0526,0.3921,1.0233
0.0526,0.4079,0.9954
0.0526,0.4237,0.9693
0.0526,0.4395,0.9448
0.0526,0.4553,0.9218
0.0526,0.4711,0.9
0.0526,0.4868,0.8795
0.0526,0.5026,0.8601
0.0526,0.5184,0.8416
0.0526,0.5342,0.8241
