chi_kappa,L,R_deficit
0.01,0.25,0.0506
0.01,0.2816,0.0466
0.01,0.3132,0.0432
0.01,0.3447,0.0404
0.01,0.3763,0.038
0.01,0.4079,0.0359
0.01,0.4395,0.0341
0.01,0.4711,0.0325
0.01,0.5026,0.031
0.01,0.5342,0.0298
0.0195,0.25,0.192
0.0195,0.2816,0.1766
0.0195,0.3132,0.164
0.0195,0.3447,0.1533
0.0195,0.3763,0.1442
0.0195,0.4079,0.1363
0.0195,0.4395,0.1293
0.0195,0.4711,0.1232
0.0195,0.5026,0.1177
0.0195,0.5342,0.1128
0.0289,0.25,0.4242
0.0289,0.2816,0.3903
0.0289,0.3132,0.3623
0.0289,0.3447,0.3388
0.0289,0.3763,0.3186
0.0289,0.4079,0.3011
0.0289,0.4395,0.2858
0.0289,0.4711,0.2723
0.0289,0.5026,0.2602
0.0289,0.5342,0.2493
0.0384,0.25,0.7473
0.0384,0.2816,0.6876
0.0384,0.3132,0.6383
0.0384,0.3447,0.5968
0.0384,0.3763,0.5613
0.0384,0.4079,0.5305
0.0384,0.4395,0.5035
0.0384,0.4711,0.4796
0.0384,0.5026,0.4583
0.0384,0.5342,0.4392
0.0479,0.25,1.1612
0.0479,0.2816,1.0685
0.0479,0.3132,0.9919
0.0479,0.3447,0.9273
0.0479,0.3763,0.8722
0.0479,0.4079,0.8243
0.0479,0.4395,0.7824
0.0479,0.4711,0.7453
0.0479,0.5026,0.7122
0.0479,0.5342,0.6825
0.0574,0.25,1.6661
0.0574,0.2816,1.533
0.0574,0.3132,1.423
0.0574,0.3447,1.3305
0.0574,0.3763,1.2513
0.0574,0.4079,1.1827
0.0574,0.4395,1.1225
0.0574,0.4711,1.0693
0.0574,0.5026,1.0218
0.0574,0.5342,0.9792
0.0668,0.25,2.2618
0.0668,0.2816,2.0811
0.0668,0.3132,1.9319
0.0668,0.3447,1.8062
0.0668,0.3763,1.6987
0.0668,0.4079,1.6056
0.0668,0.4395,1.5239
0.0668,0.4711,1.4516
0.0668,0.5026,1.3872
0.0668,0.5342,1.3293
0.0763,0.25,2.9483
0.0763,0.2816,2.7128
0.0763,0.3132,2.5183
0.0763,0.3447,2.3545
0.0763,0.3763,2.2144
0.0763,0.4079,2.0929
0.0763,0.4395,1.9865
0.0763,0.4711,1.8923
0.0763,0.5026,1.8083
0.0763,0.5342,1.7328
0.0858,0.25,3.7258
0.0858,0.2816,3.4281
0.0858,0.3132,3.1823
0.0858,0.3447,2.9753
0.0858,0.3763,2.7983
0.0858,0.4079,2.6448
0.0858,0.4395,2.5103
0.0858,0.4711,2.3913
0.0858,0.5026,2.2851
0.0858,0.5342,2.1897
0.0953,0.25,4.5941
0.0953,0.2816,4.2271
0.0953,0.3132,3.9239
0.0953,0.3447,3.6687
0.0953,0.3763,3.4504
0.0953,0.4079,3.2612
0.0953,0.4395,3.0953
0.0953,0.4711,2.9486
0.0953,0.5026,2.8176
0.0953,0.5342,2.7
