D,I,S,E,C,T,R,I_iso,O,E_exp,manual_review_needed,notes,gene_symbol,source,total_score,uniprot_id
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,ADGRG6,seed_Scoliosis_Drivers,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,AQP4,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,ARNTL,seed_Metabolic_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,BNC2,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,CNNM2,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,COL11A2,seed_ECM,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,DMD,seed_Metabolic_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,DZIP1,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,EMD,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,FAT4,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,FBLN5,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,GDF5,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,GHR,seed_Metabolic_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,HES7,seed_Segmentation,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,IGF1R,seed_Metabolic_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,LBX1,seed_Scoliosis_Drivers,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,MESP2,seed_Segmentation,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,MYLK,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,PANX3,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,PIEZO2,seed_Mechanosensors,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,POC5,seed_Scoliosis_Drivers,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,PPARGC1A,seed_Metabolic_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,PTK7,seed_Scoliosis_Drivers,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,ROCK1,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,SELENON,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,SSPOP,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,STOML3,seed_Week6_Expansion,4.0,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,TTN,seed_Week6_Expansion,4.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,GAPDH,control,0.0,
,,,,,,,,,,,,LMNA,Metabolic_Expansion,100.0,P02545
,,,,,,,,,,,,RUNX3,Metabolic_Expansion,100.0,Q13761
