panel,chi_kappa,node_drift_mm,chi_E,amplitude_deg,delta_b,gradI,threshold
A,0.0,0.0,,,,,
A,0.004285714285714286,0.0,,,,,
A,0.008571428571428572,0.0,,,,,
A,0.012857142857142859,0.0,,,,,
A,0.017142857142857144,4.040404040404039,,,,,
A,0.02142857142857143,4.040404040404039,,,,,
A,0.025714285714285717,4.040404040404039,,,,,
A,0.030000000000000002,4.040404040404039,,,,,
A,0.03428571428571429,8.080808080808078,,,,,
A,0.038571428571428576,8.080808080808078,,,,,
A,0.04285714285714286,8.080808080808078,,,,,
A,0.047142857142857146,8.080808080808078,,,,,
A,0.051428571428571435,12.121212121212116,,,,,
A,0.055714285714285716,12.121212121212116,,,,,
A,0.06,12.121212121212116,,,,,
B,,,-0.3,70.73400050627146,,,
B,,,-0.26842105263157895,66.88089964042497,,,
B,,,-0.23684210526315788,63.43416706790844,,,
B,,,-0.20526315789473681,60.33156500896282,,,
B,,,-0.17368421052631577,57.52315800531708,,,
B,,,-0.14210526315789473,54.968371434054795,,,
B,,,-0.11052631578947367,52.63386648899151,,,
B,,,-0.0789473684210526,50.49197590462868,,,
B,,,-0.04736842105263156,48.51953322290109,,,
B,,,-0.01578947368421052,46.69698358637527,,,
B,,,0.01578947368421052,45.00769937926233,,,
B,,,0.047368421052631615,43.437447211706186,,,
B,,,0.07894736842105265,41.97396826591385,,,
B,,,0.1105263157894737,40.60664462064093,,,
B,,,0.1421052631578948,39.32623153144499,,,
B,,,0.17368421052631583,38.124640837130826,,,
B,,,0.20526315789473687,36.99476437897337,,,
B,,,0.2368421052631579,35.9303290135735,,,
B,,,0.26842105263157895,34.92577677719643,,,
B,,,0.3,33.976165226318074,,,
C,,,,,0.0,0.0,0.1
C,,,,,0.005,0.0,0.10500000000000001
C,,,,,0.01,0.0,0.11
C,,,,,0.015,0.0,0.115
C,,,,,0.02,0.0,0.12000000000000001
C,,,,,0.025,0.0,0.125
C,,,,,0.03,0.0,0.13
C,,,,,0.035,0.0,0.135
C,,,,,0.04,0.0,0.14
C,,,,,0.045,0.0,0.14500000000000002
C,,,,,0.05,0.0,0.15000000000000002
C,,,,,0.055,0.0,0.155
C,,,,,0.06,0.0,0.16
C,,,,,0.065,0.0,0.165
C,,,,,0.07,0.0,0.17
C,,,,,0.075,0.0,0.175
C,,,,,0.08,0.0,0.18
C,,,,,0.085,0.0,0.185
C,,,,,0.09,0.0,0.19
C,,,,,0.095,0.0,0.195
C,,,,,0.1,0.0,0.2
C,,,,,0.105,0.0,0.20500000000000002
C,,,,,0.11,0.0,0.21000000000000002
C,,,,,0.115,0.0,0.21500000000000002
C,,,,,0.12,0.0,0.22
C,,,,,0.125,0.0,0.225
C,,,,,0.13,0.0,0.23
C,,,,,0.135,0.0,0.23500000000000001
C,,,,,0.14,0.0,0.24000000000000002
C,,,,,0.145,0.0,0.245
C,,,,,0.15,0.0,0.25
C,,,,,0.155,0.0,0.255
C,,,,,0.16,0.0,0.26
C,,,,,0.165,0.0,0.265
C,,,,,0.17,0.0,0.27
C,,,,,0.17500000000000002,0.0,0.275
C,,,,,0.18,0.0,0.28
C,,,,,0.185,0.0,0.28500000000000003
C,,,,,0.19,0.0,0.29000000000000004
C,,,,,0.195,0.0,0.29500000000000004
C,,,,,0.2,0.0,0.30000000000000004
C,,,,,0.0,0.005,0.099
C,,,,,0.005,0.005,0.10400000000000001
C,,,,,0.01,0.005,0.109
C,,,,,0.015,0.005,0.114
C,,,,,0.02,0.005,0.11900000000000001
C,,,,,0.025,0.005,0.124
C,,,,,0.03,0.005,0.129
C,,,,,0.035,0.005,0.134
C,,,,,0.04,0.005,0.139
C,,,,,0.045,0.005,0.14400000000000002
C,,,,,0.05,0.005,0.14900000000000002
C,,,,,0.055,0.005,0.154
C,,,,,0.06,0.005,0.159
C,,,,,0.065,0.005,0.164
C,,,,,0.07,0.005,0.169
C,,,,,0.075,0.005,0.174
C,,,,,0.08,0.005,0.179
C,,,,,0.085,0.005,0.184
C,,,,,0.09,0.005,0.189
C,,,,,0.095,0.005,0.194
C,,,,,0.1,0.005,0.199
C,,,,,0.105,0.005,0.20400000000000001
C,,,,,0.11,0.005,0.20900000000000002
C,,,,,0.115,0.005,0.21400000000000002
C,,,,,0.12,0.005,0.219
C,,,,,0.125,0.005,0.224
C,,,,,0.13,0.005,0.229
C,,,,,0.135,0.005,0.234
C,,,,,0.14,0.005,0.23900000000000002
C,,,,,0.145,0.005,0.244
C,,,,,0.15,0.005,0.249
C,,,,,0.155,0.005,0.254
C,,,,,0.16,0.005,0.259
C,,,,,0.165,0.005,0.264
C,,,,,0.17,0.005,0.269
C,,,,,0.17500000000000002,0.005,0.274
C,,,,,0.18,0.005,0.279
C,,,,,0.185,0.005,0.28400000000000003
C,,,,,0.19,0.005,0.28900000000000003
C,,,,,0.195,0.005,0.29400000000000004
C,,,,,0.2,0.005,0.29900000000000004
C,,,,,0.0,0.01,0.098
C,,,,,0.005,0.01,0.10300000000000001
C,,,,,0.01,0.01,0.108
C,,,,,0.015,0.01,0.113
C,,,,,0.02,0.01,0.11800000000000001
C,,,,,0.025,0.01,0.123
C,,,,,0.03,0.01,0.128
C,,,,,0.035,0.01,0.133
C,,,,,0.04,0.01,0.138
C,,,,,0.045,0.01,0.14300000000000002
C,,,,,0.05,0.01,0.14800000000000002
C,,,,,0.055,0.01,0.153
C,,,,,0.06,0.01,0.158
C,,,,,0.065,0.01,0.163
C,,,,,0.07,0.01,0.168
C,,,,,0.075,0.01,0.173
C,,,,,0.08,0.01,0.178
C,,,,,0.085,0.01,0.183
C,,,,,0.09,0.01,0.188
C,,,,,0.095,0.01,0.193
C,,,,,0.1,0.01,0.198
C,,,,,0.105,0.01,0.203
C,,,,,0.11,0.01,0.20800000000000002
C,,,,,0.115,0.01,0.21300000000000002
C,,,,,0.12,0.01,0.218
C,,,,,0.125,0.01,0.223
C,,,,,0.13,0.01,0.228
C,,,,,0.135,0.01,0.233
C,,,,,0.14,0.01,0.23800000000000002
C,,,,,0.145,0.01,0.243
C,,,,,0.15,0.01,0.248
C,,,,,0.155,0.01,0.253
C,,,,,0.16,0.01,0.258
C,,,,,0.165,0.01,0.263
C,,,,,0.17,0.01,0.268
C,,,,,0.17500000000000002,0.01,0.273
C,,,,,0.18,0.01,0.278
C,,,,,0.185,0.01,0.28300000000000003
C,,,,,0.19,0.01,0.28800000000000003
C,,,,,0.195,0.01,0.29300000000000004
C,,,,,0.2,0.01,0.29800000000000004
C,,,,,0.0,0.015,0.097
C,,,,,0.005,0.015,0.10200000000000001
C,,,,,0.01,0.015,0.107
C,,,,,0.015,0.015,0.112
C,,,,,0.02,0.015,0.117
C,,,,,0.025,0.015,0.122
C,,,,,0.03,0.015,0.127
C,,,,,0.035,0.015,0.132
C,,,,,0.04,0.015,0.137
C,,,,,0.045,0.015,0.14200000000000002
C,,,,,0.05,0.015,0.14700000000000002
C,,,,,0.055,0.015,0.152
C,,,,,0.06,0.015,0.157
C,,,,,0.065,0.015,0.162
C,,,,,0.07,0.015,0.167
C,,,,,0.075,0.015,0.172
C,,,,,0.08,0.015,0.177
C,,,,,0.085,0.015,0.182
C,,,,,0.09,0.015,0.187
C,,,,,0.095,0.015,0.192
C,,,,,0.1,0.015,0.197
C,,,,,0.105,0.015,0.202
C,,,,,0.11,0.015,0.20700000000000002
C,,,,,0.115,0.015,0.21200000000000002
C,,,,,0.12,0.015,0.217
C,,,,,0.125,0.015,0.222
C,,,,,0.13,0.015,0.227
C,,,,,0.135,0.015,0.232
C,,,,,0.14,0.015,0.23700000000000002
C,,,,,0.145,0.015,0.242
C,,,,,0.15,0.015,0.247
C,,,,,0.155,0.015,0.252
C,,,,,0.16,0.015,0.257
C,,,,,0.165,0.015,0.262
C,,,,,0.17,0.015,0.267
C,,,,,0.17500000000000002,0.015,0.272
C,,,,,0.18,0.015,0.277
C,,,,,0.185,0.015,0.28200000000000003
C,,,,,0.19,0.015,0.28700000000000003
C,,,,,0.195,0.015,0.29200000000000004
C,,,,,0.2,0.015,0.29700000000000004
C,,,,,0.0,0.02,0.096
C,,,,,0.005,0.02,0.101
C,,,,,0.01,0.02,0.106
C,,,,,0.015,0.02,0.111
C,,,,,0.02,0.02,0.116
C,,,,,0.025,0.02,0.121
C,,,,,0.03,0.02,0.126
C,,,,,0.035,0.02,0.131
C,,,,,0.04,0.02,0.136
C,,,,,0.045,0.02,0.14100000000000001
C,,,,,0.05,0.02,0.14600000000000002
C,,,,,0.055,0.02,0.151
C,,,,,0.06,0.02,0.156
C,,,,,0.065,0.02,0.161
C,,,,,0.07,0.02,0.166
C,,,,,0.075,0.02,0.17099999999999999
C,,,,,0.08,0.02,0.176
C,,,,,0.085,0.02,0.181
C,,,,,0.09,0.02,0.186
C,,,,,0.095,0.02,0.191
C,,,,,0.1,0.02,0.196
C,,,,,0.105,0.02,0.201
C,,,,,0.11,0.02,0.20600000000000002
C,,,,,0.115,0.02,0.21100000000000002
C,,,,,0.12,0.02,0.216
C,,,,,0.125,0.02,0.221
C,,,,,0.13,0.02,0.226
C,,,,,0.135,0.02,0.231
C,,,,,0.14,0.02,0.23600000000000002
C,,,,,0.145,0.02,0.241
C,,,,,0.15,0.02,0.246
C,,,,,0.155,0.02,0.251
C,,,,,0.16,0.02,0.256
C,,,,,0.165,0.02,0.261
C,,,,,0.17,0.02,0.266
C,,,,,0.17500000000000002,0.02,0.271
C,,,,,0.18,0.02,0.276
C,,,,,0.185,0.02,0.281
C,,,,,0.19,0.02,0.28600000000000003
C,,,,,0.195,0.02,0.29100000000000004
C,,,,,0.2,0.02,0.29600000000000004
C,,,,,0.0,0.025,0.095
C,,,,,0.005,0.025,0.1
C,,,,,0.01,0.025,0.105
C,,,,,0.015,0.025,0.11
C,,,,,0.02,0.025,0.115
C,,,,,0.025,0.025,0.12
C,,,,,0.03,0.025,0.125
C,,,,,0.035,0.025,0.13
C,,,,,0.04,0.025,0.135
C,,,,,0.045,0.025,0.14
C,,,,,0.05,0.025,0.14500000000000002
C,,,,,0.055,0.025,0.15
C,,,,,0.06,0.025,0.155
C,,,,,0.065,0.025,0.16
C,,,,,0.07,0.025,0.165
C,,,,,0.075,0.025,0.16999999999999998
C,,,,,0.08,0.025,0.175
C,,,,,0.085,0.025,0.18
C,,,,,0.09,0.025,0.185
C,,,,,0.095,0.025,0.19
C,,,,,0.1,0.025,0.195
C,,,,,0.105,0.025,0.2
C,,,,,0.11,0.025,0.20500000000000002
C,,,,,0.115,0.025,0.21000000000000002
C,,,,,0.12,0.025,0.215
C,,,,,0.125,0.025,0.22
C,,,,,0.13,0.025,0.225
C,,,,,0.135,0.025,0.23
C,,,,,0.14,0.025,0.23500000000000001
C,,,,,0.145,0.025,0.24
C,,,,,0.15,0.025,0.245
C,,,,,0.155,0.025,0.25
C,,,,,0.16,0.025,0.255
C,,,,,0.165,0.025,0.26
C,,,,,0.17,0.025,0.265
C,,,,,0.17500000000000002,0.025,0.27
C,,,,,0.18,0.025,0.275
C,,,,,0.185,0.025,0.28
C,,,,,0.19,0.025,0.28500000000000003
C,,,,,0.195,0.025,0.29000000000000004
C,,,,,0.2,0.025,0.29500000000000004
C,,,,,0.0,0.03,0.094
C,,,,,0.005,0.03,0.099
C,,,,,0.01,0.03,0.104
C,,,,,0.015,0.03,0.109
C,,,,,0.02,0.03,0.114
C,,,,,0.025,0.03,0.119
C,,,,,0.03,0.03,0.124
C,,,,,0.035,0.03,0.129
C,,,,,0.04,0.03,0.134
C,,,,,0.045,0.03,0.139
C,,,,,0.05,0.03,0.14400000000000002
C,,,,,0.055,0.03,0.149
C,,,,,0.06,0.03,0.154
C,,,,,0.065,0.03,0.159
C,,,,,0.07,0.03,0.164
C,,,,,0.075,0.03,0.16899999999999998
C,,,,,0.08,0.03,0.174
C,,,,,0.085,0.03,0.179
C,,,,,0.09,0.03,0.184
C,,,,,0.095,0.03,0.189
C,,,,,0.1,0.03,0.194
C,,,,,0.105,0.03,0.199
C,,,,,0.11,0.03,0.20400000000000001
C,,,,,0.115,0.03,0.20900000000000002
C,,,,,0.12,0.03,0.214
C,,,,,0.125,0.03,0.219
C,,,,,0.13,0.03,0.224
C,,,,,0.135,0.03,0.229
C,,,,,0.14,0.03,0.234
C,,,,,0.145,0.03,0.239
C,,,,,0.15,0.03,0.244
C,,,,,0.155,0.03,0.249
C,,,,,0.16,0.03,0.254
C,,,,,0.165,0.03,0.259
C,,,,,0.17,0.03,0.264
C,,,,,0.17500000000000002,0.03,0.269
C,,,,,0.18,0.03,0.274
C,,,,,0.185,0.03,0.279
C,,,,,0.19,0.03,0.28400000000000003
C,,,,,0.195,0.03,0.28900000000000003
C,,,,,0.2,0.03,0.29400000000000004
C,,,,,0.0,0.035,0.093
C,,,,,0.005,0.035,0.098
C,,,,,0.01,0.035,0.103
C,,,,,0.015,0.035,0.108
C,,,,,0.02,0.035,0.113
C,,,,,0.025,0.035,0.118
C,,,,,0.03,0.035,0.123
C,,,,,0.035,0.035,0.128
C,,,,,0.04,0.035,0.133
C,,,,,0.045,0.035,0.138
C,,,,,0.05,0.035,0.14300000000000002
C,,,,,0.055,0.035,0.148
C,,,,,0.06,0.035,0.153
C,,,,,0.065,0.035,0.158
C,,,,,0.07,0.035,0.163
C,,,,,0.075,0.035,0.16799999999999998
C,,,,,0.08,0.035,0.173
C,,,,,0.085,0.035,0.178
C,,,,,0.09,0.035,0.183
C,,,,,0.095,0.035,0.188
C,,,,,0.1,0.035,0.193
C,,,,,0.105,0.035,0.198
C,,,,,0.11,0.035,0.203
C,,,,,0.115,0.035,0.20800000000000002
C,,,,,0.12,0.035,0.213
C,,,,,0.125,0.035,0.218
C,,,,,0.13,0.035,0.223
C,,,,,0.135,0.035,0.228
C,,,,,0.14,0.035,0.233
C,,,,,0.145,0.035,0.238
C,,,,,0.15,0.035,0.243
C,,,,,0.155,0.035,0.248
C,,,,,0.16,0.035,0.253
C,,,,,0.165,0.035,0.258
C,,,,,0.17,0.035,0.263
C,,,,,0.17500000000000002,0.035,0.268
C,,,,,0.18,0.035,0.273
C,,,,,0.185,0.035,0.278
C,,,,,0.19,0.035,0.28300000000000003
C,,,,,0.195,0.035,0.28800000000000003
C,,,,,0.2,0.035,0.29300000000000004
C,,,,,0.0,0.04,0.092
C,,,,,0.005,0.04,0.097
C,,,,,0.01,0.04,0.10200000000000001
C,,,,,0.015,0.04,0.10700000000000001
C,,,,,0.02,0.04,0.11200000000000002
C,,,,,0.025,0.04,0.11699999999999999
C,,,,,0.03,0.04,0.122
C,,,,,0.035,0.04,0.127
C,,,,,0.04,0.04,0.132
C,,,,,0.045,0.04,0.137
C,,,,,0.05,0.04,0.14200000000000002
C,,,,,0.055,0.04,0.147
C,,,,,0.06,0.04,0.152
C,,,,,0.065,0.04,0.157
C,,,,,0.07,0.04,0.162
C,,,,,0.075,0.04,0.16699999999999998
C,,,,,0.08,0.04,0.172
C,,,,,0.085,0.04,0.177
C,,,,,0.09,0.04,0.182
C,,,,,0.095,0.04,0.187
C,,,,,0.1,0.04,0.192
C,,,,,0.105,0.04,0.197
C,,,,,0.11,0.04,0.202
C,,,,,0.115,0.04,0.20700000000000002
C,,,,,0.12,0.04,0.212
C,,,,,0.125,0.04,0.217
C,,,,,0.13,0.04,0.222
C,,,,,0.135,0.04,0.227
C,,,,,0.14,0.04,0.232
C,,,,,0.145,0.04,0.237
C,,,,,0.15,0.04,0.242
C,,,,,0.155,0.04,0.247
C,,,,,0.16,0.04,0.252
C,,,,,0.165,0.04,0.257
C,,,,,0.17,0.04,0.262
C,,,,,0.17500000000000002,0.04,0.267
C,,,,,0.18,0.04,0.272
C,,,,,0.185,0.04,0.277
C,,,,,0.19,0.04,0.28200000000000003
C,,,,,0.195,0.04,0.28700000000000003
C,,,,,0.2,0.04,0.29200000000000004
C,,,,,0.0,0.045,0.09100000000000001
C,,,,,0.005,0.045,0.09600000000000002
C,,,,,0.01,0.045,0.101
C,,,,,0.015,0.045,0.10600000000000001
C,,,,,0.02,0.045,0.11100000000000002
C,,,,,0.025,0.045,0.116
C,,,,,0.03,0.045,0.12100000000000001
C,,,,,0.035,0.045,0.126
C,,,,,0.04,0.045,0.131
C,,,,,0.045,0.045,0.136
C,,,,,0.05,0.045,0.14100000000000001
C,,,,,0.055,0.045,0.146
C,,,,,0.06,0.045,0.151
C,,,,,0.065,0.045,0.156
C,,,,,0.07,0.045,0.161
C,,,,,0.075,0.045,0.16599999999999998
C,,,,,0.08,0.045,0.17099999999999999
C,,,,,0.085,0.045,0.176
C,,,,,0.09,0.045,0.181
C,,,,,0.095,0.045,0.186
C,,,,,0.1,0.045,0.191
C,,,,,0.105,0.045,0.196
C,,,,,0.11,0.045,0.201
C,,,,,0.115,0.045,0.20600000000000002
C,,,,,0.12,0.045,0.211
C,,,,,0.125,0.045,0.216
C,,,,,0.13,0.045,0.221
C,,,,,0.135,0.045,0.226
C,,,,,0.14,0.045,0.231
C,,,,,0.145,0.045,0.236
C,,,,,0.15,0.045,0.241
C,,,,,0.155,0.045,0.246
C,,,,,0.16,0.045,0.251
C,,,,,0.165,0.045,0.256
C,,,,,0.17,0.045,0.261
C,,,,,0.17500000000000002,0.045,0.266
C,,,,,0.18,0.045,0.271
C,,,,,0.185,0.045,0.276
C,,,,,0.19,0.045,0.281
C,,,,,0.195,0.045,0.28600000000000003
C,,,,,0.2,0.045,0.29100000000000004
C,,,,,0.0,0.05,0.09
C,,,,,0.005,0.05,0.095
C,,,,,0.01,0.05,0.1
C,,,,,0.015,0.05,0.10500000000000001
C,,,,,0.02,0.05,0.11000000000000001
C,,,,,0.025,0.05,0.11499999999999999
C,,,,,0.03,0.05,0.12
C,,,,,0.035,0.05,0.125
C,,,,,0.04,0.05,0.13
C,,,,,0.045,0.05,0.135
C,,,,,0.05,0.05,0.14
C,,,,,0.055,0.05,0.145
C,,,,,0.06,0.05,0.15
C,,,,,0.065,0.05,0.155
C,,,,,0.07,0.05,0.16
C,,,,,0.075,0.05,0.16499999999999998
C,,,,,0.08,0.05,0.16999999999999998
C,,,,,0.085,0.05,0.175
C,,,,,0.09,0.05,0.18
C,,,,,0.095,0.05,0.185
C,,,,,0.1,0.05,0.19
C,,,,,0.105,0.05,0.195
C,,,,,0.11,0.05,0.2
C,,,,,0.115,0.05,0.20500000000000002
C,,,,,0.12,0.05,0.21
C,,,,,0.125,0.05,0.215
C,,,,,0.13,0.05,0.22
C,,,,,0.135,0.05,0.225
C,,,,,0.14,0.05,0.23
C,,,,,0.145,0.05,0.235
C,,,,,0.15,0.05,0.24
C,,,,,0.155,0.05,0.245
C,,,,,0.16,0.05,0.25
C,,,,,0.165,0.05,0.255
C,,,,,0.17,0.05,0.26
C,,,,,0.17500000000000002,0.05,0.265
C,,,,,0.18,0.05,0.27
C,,,,,0.185,0.05,0.275
C,,,,,0.19,0.05,0.28
C,,,,,0.195,0.05,0.28500000000000003
C,,,,,0.2,0.05,0.29000000000000004
C,,,,,0.0,0.055,0.08900000000000001
C,,,,,0.005,0.055,0.09400000000000001
C,,,,,0.01,0.055,0.099
C,,,,,0.015,0.055,0.10400000000000001
C,,,,,0.02,0.055,0.10900000000000001
C,,,,,0.025,0.055,0.114
C,,,,,0.03,0.055,0.11900000000000001
C,,,,,0.035,0.055,0.12400000000000001
C,,,,,0.04,0.055,0.129
C,,,,,0.045,0.055,0.134
C,,,,,0.05,0.055,0.139
C,,,,,0.055,0.055,0.144
C,,,,,0.06,0.055,0.149
C,,,,,0.065,0.055,0.154
C,,,,,0.07,0.055,0.159
C,,,,,0.075,0.055,0.16399999999999998
C,,,,,0.08,0.055,0.16899999999999998
C,,,,,0.085,0.055,0.174
C,,,,,0.09,0.055,0.179
C,,,,,0.095,0.055,0.184
C,,,,,0.1,0.055,0.189
C,,,,,0.105,0.055,0.194
C,,,,,0.11,0.055,0.199
C,,,,,0.115,0.055,0.20400000000000001
C,,,,,0.12,0.055,0.209
C,,,,,0.125,0.055,0.214
C,,,,,0.13,0.055,0.219
C,,,,,0.135,0.055,0.224
C,,,,,0.14,0.055,0.229
C,,,,,0.145,0.055,0.23399999999999999
C,,,,,0.15,0.055,0.239
C,,,,,0.155,0.055,0.244
C,,,,,0.16,0.055,0.249
C,,,,,0.165,0.055,0.254
C,,,,,0.17,0.055,0.259
C,,,,,0.17500000000000002,0.055,0.264
C,,,,,0.18,0.055,0.269
C,,,,,0.185,0.055,0.274
C,,,,,0.19,0.055,0.279
C,,,,,0.195,0.055,0.28400000000000003
