gene_symbol,uniprot_id,priority_score,anisotropy_index,radius_of_gyration,plddt_mean,morphology,n_residues,plddt_median,plddt_fraction_high,plddt_fraction_ok,plddt_fraction_low,disorder_fraction_proxy,backbone_principal_axis,curvature_summary,torsion_summary,end_to_end_distance,bending_hotspots,hinge_candidates,exposed_surface_proxy,charged_patch_score,low_confidence_warning,multi_domain_uncertain,likely_IDR_heavy,predicted_domain_segments,PAE_mean,PAE_domain_blockiness_score,organism
DMD,P11532,100,1.3155342721236885,22.82447560454643,76.34927619047619,Globular,525,85.06,0.46095238095238095,0.1771428571428571,0.3619047619047619,0.17523809523809525,"[-0.696, -0.170, 0.698]",0.3396918844143603,1.3282783331236119,48.85366185865702,251:0.39; 14:0.39; 53:0.38,1,0.5523809523809524,0.37209302325581395,False,True,False,2,19.008682086167802,6.90819720471551,Homo sapiens
DAG1,Q14118,100,2.3890770817089004,31.57676671759604,68.17016759776536,Intermediate,895,76.19,0.31508379888268156,0.20558659217877095,0.4793296089385475,0.37988826815642457,"[-0.544, -0.745, -0.387]",0.2965663329650348,1.8359242094679769,12.973629561537514,697:0.41; 667:0.38; 550:0.38,14,0.6357541899441341,0.3146853146853147,True,True,True,7,25.456772260541182,5.633290930766138,Homo sapiens
MYLK,Q15746,100,1.4640526080343412,41.50389838721379,65.84507314524556,Globular,1914,80.12,0.17972831765935215,0.42789968652037624,0.39237199582027166,0.34691745036572624,"[-0.262, -0.391, 0.882]",0.2765878752741912,2.0755989382804536,56.77836512264156,1835:0.42; 59:0.41; 649:0.41,31,0.5344827586206896,0.39666666666666667,True,True,True,28,26.60291625584567,8.28959095350075,Homo sapiens
ARNTL,O00327,100,3.3192797281217827,32.06851875969924,65.52864217252394,Fibrous/Extended,626,63.59,0.3354632587859425,0.13258785942492013,0.5319488817891374,0.40415335463258784,"[-0.577, 0.255, 0.776]",0.314879829201722,1.6185709737500673,14.262585109299085,143:0.38; 191:0.38; 428:0.38,6,0.6916932907348243,0.47368421052631576,True,True,True,7,22.818205248599046,3.5856438629417164,Homo sapiens
GHR,P10912,100,5.13247062540886,31.35538953628705,58.69753918495297,Fibrous/Extended,638,48.89,0.2617554858934169,0.07053291536050155,0.6677115987460815,0.5047021943573667,"[-0.761, 0.080, 0.644]",0.28192234020323387,1.981865304738773,63.24585957989661,266:0.38; 131:0.38; 163:0.38,54,0.8040752351097179,0.20224719101123595,True,True,True,3,25.827293855209756,5.309022073672339,Homo sapiens
IGF1R,P08069,100,1.426632071596987,43.19563878705403,78.01789319678127,Globular,1367,88.0,0.4359912216532553,0.3160204828090709,0.24798829553767374,0.1572787125091441,"[-0.397, 0.016, 0.918]",0.2975271574185976,1.7991094129582073,53.57743917919183,34:0.41; 1073:0.40; 44:0.38,35,0.4177029992684711,0.3524904214559387,False,True,False,16,23.586392385249766,5.850335926217477,Homo sapiens
PPARGC1A,Q9UBK2,100,2.185052241061399,31.245049772687448,52.74286967418547,Intermediate,798,44.045,0.08020050125313283,0.12907268170426067,0.7907268170426065,0.6190476190476191,"[-0.885, 0.223, 0.409]",0.33416531204225947,1.3147186562736124,68.17329278390476,689:0.38; 697:0.38; 795:0.38,0,0.9335839598997494,0.5086206896551724,True,True,True,4,28.088947305607377,6.5607107575563255,Homo sapiens
PIEZO2,Q9H5I5,95,4.441176983762356,43.40791862714556,79.4436389280677,Fibrous/Extended,709,88.38,0.41748942172073344,0.36812411847672777,0.2143864598025388,0.1368124118476728,"[-0.687, -0.068, 0.724]",0.3293254003639894,1.4284592527058404,28.406129021744583,460:0.38; 239:0.38; 138:0.38,0,0.5627644569816643,0.24521072796934865,False,True,False,7,16.987465211535746,2.7999858836300677,Homo sapiens
ALPL,P05186,95,1.6316795170067546,22.618217996372245,93.2885496183206,Intermediate,524,98.31,0.898854961832061,0.019083969465648942,0.08206106870229007,0.06297709923664122,"[-0.384, -0.406, 0.829]",0.3138926141173866,1.6144617542717454,56.47146479417725,381:0.39; 332:0.39; 149:0.39,0,0.30343511450381677,0.3620689655172414,False,False,False,1,6.437594691451547,0.0,Homo sapiens
LBX1,P52954,95,2.2664106664642834,22.694646921843983,66.86779359430605,Intermediate,281,60.25,0.2313167259786477,0.1565836298932384,0.6120996441281139,0.26334519572953735,"[-0.222, -0.149, 0.964]",0.3434979169995809,1.1726210428916588,51.85587921345082,83:0.39; 37:0.39; 34:0.38,0,0.9323843416370107,0.35555555555555557,True,True,False,3,25.08210382340649,7.354659843586591,Homo sapiens
