protein_id,species,length,pLDDT_mean,pLDDT_median,pLDDT_fraction_high,pLDDT_fraction_ok,pLDDT_fraction_low,PAE_mean,PAE_domain_blockiness_score,predicted_domain_segments,disorder_fraction_proxy,hinge_candidates,backbone_principal_axis,radius_of_gyration,end_to_end_distance,mean_curvature_hc,mean_torsion_hc,anisotropy_index,max_eigenvalue,bending_hotspots,exposed_surface_proxy,charged_patch_score,low_confidence_warning,multi_domain_uncertain,likely_IDR_heavy
PIEZO1,Homo sapiens,2521,72.0459182863943,79.19,0.11939706465688218,0.5537485124950416,0.32685442284807614,N/A,N/A,35,0.1701705672352241,2-7; 9-11; 23-30; 47-53; 55-58; 75-78; 81-88; 90-95; 98-104; 110-115; 118-120; 233-242; 266-272; 294-299; 306-309; 413-416; 430-432; 434-440; 453-460; 462-464; 486-488; 493-500; 509-513; 515-517; 560-563; 566-573; 593-596; 616-620; 648-654; 674-682; 684-686; 697-699; 707-709; 787-789; 875-877; 887-895; 922-925; 953-957; 1071-1075; 1133-1141; 1239-1245; 1259-1263; 1266-1273; 1445-1455; 1505-1517; 1554-1558; 1567-1570; 1721-1723; 1759-1761; 1763-1765; 1777-1780; 1920-1922; 1981-1984; 1987-1995; 2053-2055; 2289-2291; 2293-2295; 2311-2314; 2330-2344; 2395-2397; 2409-2414,"[-0.270, -0.320, 0.908]",58.85421648343141,169.40676879882812,0.13549936827704676,0.4645399379695804,15.180840416237508,2660.510400012538,2217-2217 (k=3.16); 2312-2312 (k=3.09); 2364-2364 (k=1.89),Not computed,Not computed,False,False,False
PIEZO2,Homo sapiens,709,79.4436389280677,88.38,0.41748942172073344,0.36812411847672777,0.2143864598025388,N/A,N/A,7,0.1368124118476728,100-103; 173-183; 378-381; 498-500; 528-532; 578-582; 593-602; 616-618,"[-0.687, -0.068, 0.724]",43.407917561221424,97.91502380371094,0.13217297122678434,0.3654150477646612,19.724058022921632,1478.7770954601908,403-403 (k=2.78); 498-498 (k=2.62); 551-552 (k=1.73),Not computed,Not computed,False,False,False
COL1A1,Homo sapiens,1464,52.72999316939891,44.22,0.15027322404371585,0.045081967213114756,0.8046448087431693,N/A,N/A,3,0.6734972677595629,77-88; 1218-1220; 1222-1224; 1317-1319,"[-0.475, 0.297, 0.828]",23.45619592315247,36.59199905395508,0.22569560165852995,0.27427607227366857,7.823379327574781,375.9661228373109,64-64 (k=2.94); 1280-1280 (k=2.51); 1293-1293 (k=2.48),Not computed,Not computed,True,True,True
COL2A1,Homo sapiens,1487,52.1160860793544,44.12,0.13315400134498992,0.06119704102219233,0.8056489576328177,N/A,N/A,3,0.691324815063887,29-31; 71-78; 80-82; 1340-1342; 1364-1367,"[-0.434, -0.065, 0.899]",24.965265662904073,36.90201187133789,0.2260192935092509,0.2585960109192505,7.024111640262507,449.1819131912946,58-58 (k=2.97); 36-36 (k=2.75); 1317-1317 (k=2.58),Not computed,Not computed,True,True,True
YAP1,Homo sapiens,504,57.402023809523804,51.56,0.015873015873015872,0.24603174603174602,0.7380952380952381,N/A,N/A,5,0.44841269841269843,49-51; 66-68; 70-78; 266-268; 330-332; 336-338,"[-0.676, 0.732, 0.082]",23.55469060160038,44.26367950439453,0.21894286690568365,0.3781086238167514,3.9581871937573174,254.56482775456686,251-251 (k=2.60); 192-192 (k=2.53); 241-242 (k=1.79),Not computed,Not computed,True,True,True
TRPV4,Homo sapiens,871,71.60041331802526,83.19,0.22043628013777267,0.44661308840413316,0.33295063145809417,N/A,N/A,8,0.2537313432835821,103-105; 202-204; 394-398; 425-430; 439-441; 493-496; 541-545; 593-597; 603-611; 660-664; 685-689; 715-722; 724-726; 745-750; 765-770; 785-788; 790-792,"[-0.638, -0.113, 0.762]",35.40188497174262,83.7197036743164,0.16294800911556814,0.4319012297924272,8.613217136309297,885.5192655164262,410-411 (k=1.95); 233-233 (k=1.69); 397-397 (k=1.55),Not computed,Not computed,False,False,False
RUNX2,Homo sapiens,507,59.509625246548325,48.19,0.22682445759368836,0.08481262327416174,0.6883629191321499,N/A,N/A,2,0.5384615384615384,59-61; 91-95; 226-230,"[-0.817, 0.565, 0.113]",22.41328005059907,62.37220001220703,0.1809272965610699,0.2840402861823376,10.042649695879648,350.84221892955236,103-103 (k=2.76); 190-190 (k=1.97); 162-162 (k=1.43),Not computed,Not computed,True,True,True
SOX9,Homo sapiens,509,55.97495088408645,50.22,0.10609037328094302,0.05304518664047151,0.8408644400785854,N/A,N/A,1,0.4911591355599214,73-78; 99-102; 269-275; 277-280,"[0.626, -0.097, -0.774]",16.634701696758,40.1481819152832,0.1214794489836377,0.34387843447618033,4.788912172685501,131.0208746479216,124-125 (k=0.41); 166-166 (k=0.33); 131-131 (k=0.25),Not computed,Not computed,True,False,True
VINCULIN,Homo sapiens,1134,86.58665784832452,91.94,0.6340388007054674,0.25396825396825395,0.11199294532627865,N/A,N/A,6,0.04938271604938271,216-220; 862-866; 1005-1010; 1074-1081; 1117-1120,"[-0.741, 0.009, 0.672]",33.202554609126025,45.59426498413086,0.13800750192557532,0.493000278789991,3.032850818319672,617.7452537428437,30-30 (k=0.73); 685-685 (k=0.65); 807-807 (k=0.64),Not computed,Not computed,False,False,False
TALIN1,Homo sapiens,2541,75.88697756788666,80.38,0.06572215663124754,0.706021251475797,0.22825659189295552,N/A,N/A,51,0.0759543486816214,10-12; 35-37; 40-45; 53-56; 117-123; 158-164; 185-187; 199-209; 224-228; 318-320; 340-344; 352-355; 361-363; 369-372; 522-531; 561-568; 598-602; 627-631; 655-659; 727-729; 784-787; 840-842; 844-853; 877-881; 948-950; 974-981; 1004-1006; 1008-1017; 1105-1114; 1142-1146; 1170-1182; 1200-1203; 1220-1224; 1232-1235; 1237-1239; 1259-1265; 1289-1298; 1321-1332; 1347-1349; 1358-1361; 1376-1378; 1382-1386; 1448-1452; 1466-1468; 1476-1488; 1509-1522; 1542-1555; 1573-1575; 1589-1593; 1620-1628; 1721-1724; 1750-1754; 1782-1790; 1815-1820; 1905-1910; 1937-1945; 2036-2042; 2068-2072; 2101-2112; 2161-2165; 2193-2199; 2224-2230; 2257-2264; 2288-2290; 2302-2304; 2367-2372; 2410-2417; 2439-2451,"[-0.698, -0.017, 0.716]",56.88705406275497,35.653987884521484,0.13336754504756654,0.48518164930171714,4.177201800231538,2110.209337877424,362-362 (k=2.83); 10-10 (k=2.81); 333-333 (k=2.66),Not computed,Not computed,False,False,False
