protein_id,species,length,pLDDT_mean,pLDDT_median,pLDDT_fraction_high,pLDDT_fraction_ok,pLDDT_fraction_low,PAE_mean,PAE_domain_blockiness_score,predicted_domain_segments,disorder_fraction_proxy,hinge_candidates,backbone_principal_axis,radius_of_gyration,end_to_end_distance,curvature_summary,torsion_summary,anisotropy_index,bending_hotspots,exposed_surface_proxy,charged_patch_score,low_confidence_warning,multi_domain_uncertain,likely_IDR_heavy
Q9UBK2,human,798,52.74286967418547,44.045,0.08020050125313283,0.12907268170426064,0.7907268170426065,28.088947305607377,Not computed,81-96;98-99;102-103;452-467;633-737;744-750;778-796,0.6190476190476191,97;100;104;468;738;751;797,Computed (PCA),31.24505,40.36153,0.621185012901469,0.06817278698766205,1.9016519383630603,96;675;744,SASA not computed,Not implemented,True,True,True
O00327,human,626,65.52864217252394,63.59,0.3354632587859425,0.13258785942492013,0.5319488817891374,22.818205248599046,Not computed,69-124;138-208;241-254;277-289;311-320;331-441;492-509,0.40415335463258784,125;209;255;290;321;442;510,Computed (PCA),32.06852,108.94769,0.6334397848021239,0.0028334853018870463,5.117739993968833,428;361;166,SASA not computed,Not implemented,True,True,False
Q9H5I5,human,709,79.4436389280677,88.38,0.41748942172073344,0.36812411847672777,0.2143864598025388,16.987465211535746,Not computed,103-167;186-378;387-528;534-579;583-593;595-598;601-614;627-708,0.1368124118476728,168;379;529;580;594;599;615,Computed (PCA),43.407917,97.91502,0.6601566332409377,0.0381514538999736,4.428987861612756,239;210;678,SASA not computed,Not implemented,False,True,False
Q14118,human,895,68.17016759776536,76.19,0.31508379888268156,0.20558659217877095,0.4793296089385475,25.456772260541182,Not computed,63-158;180-302;492-540;543-597;602-650;654-719;749-776,0.37988826815642457,159;303;541;598;651;720;777,Computed (PCA),31.576767,75.127815,0.6930927593442531,-0.018537403370673625,2.904825596849509,218;558;502,SASA not computed,Not implemented,True,True,False
P52954,human,281,66.86779359430605,60.25,0.2313167259786477,0.15658362989323843,0.6120996441281139,25.08210382340649,Not computed,33-42;82-98;100-100;102-102;124-195;272-272;274-280,0.26334519572953735,43;99;101;103;196;273,Computed (PCA),22.694647,54.392895,0.5833613214404069,0.043317434722979824,2.711521781335492,98;162;147,SASA not computed,Not implemented,True,True,False
P10912,human,638,58.69753918495297,48.89,0.2617554858934169,0.07053291536050156,0.6677115987460815,25.827293855209756,Not computed,1-1;4-5;49-69;80-88;96-251;265-287,0.5047021943573667,2;6;70;89;252;288,Computed (PCA),31.35539,25.064072,0.6295268082282048,-0.031020837587926304,12.04076912855339,165;181;210,SASA not computed,Not implemented,True,True,True
Q16288,human,839,76.81557806912993,88.81,0.466030989272944,0.25148986889153757,0.2824791418355185,22.156000460278925,Not computed,31-47;52-53;55-55;76-255;261-314;316-397;433-454;528-545;549-573;577-578;581-582;584-634;649-695;731-829,0.2026221692491061,48;54;56;256;315;398;455;546;574;579;583;635;696;830,Computed (PCA),32.45102,53.352154,0.7139965976549759,-0.0033316887949178865,1.5339279078290027,582;150;673,SASA not computed,Not implemented,False,True,False
Q15746,human,1914,65.84507314524556,80.12,0.17972831765935215,0.4278996865203762,0.39237199582027166,26.60291625584567,Not computed,31-82;87-122;160-185;188-203;205-212;214-236;240-249;411-453;460-504;512-539;541-601;621-633;635-635;637-665;667-711;719-745;748-760;766-771;773-810;1095-1140;1142-1186;1235-1273;1275-1423;1450-1469;1476-1611;1624-1663;1665-1725;1727-1742;1806-1859;1861-1885;1888-1899,0.34691745036572624,83;123;186;204;213;237;250;454;505;540;602;634;636;666;712;746;761;772;811;1141;1187;1274;1424;1470;1612;1664;1726;1743;1860;1886;1900,Computed (PCA),41.5039,70.66602,0.7142441049324457,-0.04335708322434834,1.5710130585923978,1476;635;236,SASA not computed,Not implemented,True,True,False
P08069,human,1367,78.01789319678127,88.0,0.4359912216532553,0.31602048280907097,0.24798829553767374,23.586392385249766,Not computed,30-63;72-183;190-285;293-364;369-487;490-536;547-585;594-673;704-704;721-721;774-924;940-957;988-1006;1010-1036;1042-1094;1105-1153;1174-1185;1187-1284,0.1572787125091441,64;184;286;365;488;537;586;674;705;722;925;958;1007;1037;1095;1154;1186;1285,Computed (PCA),43.195637,84.29691,0.7080848520304902,-0.014054601561997893,1.405299841970333,636;1010;873,SASA not computed,Not implemented,False,True,False
P11532,human,525,76.34927619047619,85.06,0.46095238095238095,0.17714285714285713,0.3619047619047619,19.008682086167802,Not computed,9-9;11-293;343-344;346-350;375-375;377-417;505-505;508-508,0.17523809523809525,10;294;345;351;376;418;506;509,Computed (PCA),22.824474,76.0648,0.6762887681976572,0.049513219046826075,1.321482457799761,241;122;68,SASA not computed,Not implemented,False,True,False
